run_id,num_tasks,model_mse_self,baseline_memorising_mse_self,delta_vs_memorising,delta_vs_generalising
vq5nezmu,1,1.3681879043579102,1.3868416547775269,0.0002700634940993041,1.3681879043579102
623j78n1,2,0.22867745161056519,0.22217819094657898,0.0018680550856515765,0.22867745161056519
g9aq8lco,4,0.19549547135829926,0.17490096390247345,0.007059578783810139,0.19549547135829926
lxbrw4wt,8,0.09198985248804092,0.08984857052564621,0.007580248638987541,0.09198985248804092
0m4pu40l,16,0.030809739604592323,0.02921474538743496,0.003829432185739279,0.030809739604592323
figmjwgc,32,0.012874585576355457,0.012676959857344627,0.0023800935596227646,0.012874585576355457
9mdtbwhu,64,0.015371870249509811,0.01020429003983736,0.0015126916114240885,0.015371870249509811
yxwjc9q6,128,0.0065496936440467834,0.005012301728129387,0.002564400667324662,0.0065496936440467834
5s87k2pz,256,0.008914264850318432,0.005108274053782225,0.00404500775039196,0.008914264850318432
tm2zaadf,512,0.005354948341846466,0.0032777260057628155,0.001922409050166607,0.005354948341846466
hjc3iitn,1024,0.004012655932456255,0.0013298573903739452,0.002893740776926279,0.004012655932456255
sm7qcxcd,2048,0.0019987858831882477,0.0005078839603811502,0.002526159631088376,0.0019987858831882477
6lgsfd41,4096,0.004114540759474039,0.00026532524498179555,0.004008754622191191,0.004114540759474039
bnekxp36,8192,0.0030156131833791733,7.599303353345022e-05,0.0029836976900696754,0.0030156131833791733
nwb2gn6u,16384,0.003053625114262104,2.737316390266642e-05,0.0030150015372782946,0.003053625114262104
pvxlpr2y,32768,0.004389815032482147,2.8691618354059756e-05,0.004499436356127262,0.004389815032482147
iilnom6u,65536,0.003220787039026618,6.9497596086876e-06,0.003292447654530406,0.003220787039026618
