run_name,n_chains,checkpoint_step,prompt_source,prompt_length,n_samples,n_prompts,dist/ed_vs_baseline_in_distribution,dist/sw_vs_baseline_in_distribution,dist/ed_vs_baseline_out_of_distribution,dist/sw_vs_baseline_out_of_distribution
markov_k10_chains4_seq1024_lr6e-04_20260421_022615-retry-2,4,100000,N/A,0,1024,0,0.08624714612960815,0.023579214232241914,0.16700446605682373,0.03815600997529959
markov_k10_chains8_seq1024_lr6e-04_20260421_022617-retry-2,8,100000,N/A,0,1024,0,0.04893672466278076,0.020093306646990744,0.07780313491821289,0.02661181792377051
markov_k10_chains16_seq1024_lr6e-04_20260421_022616-retry-2,16,100000,N/A,0,1024,0,0.03578352928161621,0.01906279987177505,0.048380494117736816,0.022085550815343406
markov_k10_chains32_seq1024_lr6e-04_20260421_022616-retry-2,32,100000,N/A,0,1024,0,0.03401029109954834,0.018885313428067586,0.0388486385345459,0.021125720446057275
markov_k10_chains64_seq1024_lr6e-04_20260421_022616-retry-2,64,100000,N/A,0,1024,0,0.049617648124694824,0.022619942554083013,0.051169633865356445,0.02531226820453409
markov_k10_chains128_seq1024_lr6e-04_20260421_022617-retry-2,128,100000,N/A,0,1024,0,0.06922268867492676,0.02916119927385224,0.0719759464263916,0.030491074569568222
markov_k10_chains256_seq1024_lr6e-04_20260421_022617-retry-2,256,100000,N/A,0,1024,0,0.014033794403076172,0.01369782158857265,0.013753294944763184,0.01389680753250097
markov_k10_chains512_seq1024_lr6e-04_20260421_022617-retry-2,512,100000,N/A,0,1024,0,0.007959723472595215,0.011178947463538964,0.008554935455322266,0.011113079677528684
markov_k10_chains1024_seq1024_lr6e-04_20260421_022617-retry-2,1024,100000,N/A,0,1024,0,0.007134675979614258,0.010928927905810648,0.006726264953613281,0.010695732513916336
markov_k10_chains2048_seq1024_lr6e-04_20260421_022617-retry-2,2048,100000,N/A,0,1024,0,0.006240487098693848,0.010462884445236527,0.006543755531311035,0.009976052901244063
