run_name,n_chains,kl_vs_memorising,kl_vs_generalising
markov_k10_chains4_seq1024_lr6e-04_20260421_022615-retry-2,4,0.008978001773357391,0.12501047551631927
markov_k10_chains8_seq1024_lr6e-04_20260421_022617-retry-2,8,0.004215025343000889,0.05088288336992264
markov_k10_chains16_seq1024_lr6e-04_20260421_022616-retry-2,16,0.004153712652623653,0.025929346680641174
markov_k10_chains32_seq1024_lr6e-04_20260421_022616-retry-2,32,0.0028284932486712933,0.011508170515298843
markov_k10_chains64_seq1024_lr6e-04_20260421_022616-retry-2,64,0.004390578716993332,0.008185242302715778
markov_k10_chains128_seq1024_lr6e-04_20260421_022617-retry-2,128,0.002750856801867485,0.005160632077604532
markov_k10_chains256_seq1024_lr6e-04_20260421_022617-retry-2,256,0.0038882805965840816,0.004995632916688919
markov_k10_chains512_seq1024_lr6e-04_20260421_022617-retry-2,512,0.003033950924873352,0.0036771930754184723
markov_k10_chains1024_seq1024_lr6e-04_20260421_022617-retry-2,1024,0.001668343204073608,0.0018920270958915353
markov_k10_chains2048_seq1024_lr6e-04_20260421_022617-retry-2,2048,0.0011406437261030078,0.0011469731107354164
